Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,319882.05,36335.90,264500.00,116,0,114,0,484,0,57,0,5,0.6942958212336737,600
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,7997212.46,1020574.19,2694000.00,4133,0,7942,0,7041,0,1107,0,63,0.7520006952940045,11052
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,18715587.32,1235290.91,2324750.00,2818,0,1457,0,7461,0,723,0,65,0.9002793135951263,9300
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,314780.66,7550205.04,26217400.00,2230,381,0,2786,0,3749,0,1087,121,0.7764565486510643,15468
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,5182915.05,2657672.58,23511600.00,2220,0,2210,0,4896,0,877,0,119,0.7745921827745127,12984
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,248694.18,7807126.82,26278900.00,2003,311,0,2525,0,3871,0,975,116,0.7747508466910729,13896
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,229659.21,6127964.59,26248000.00,1852,325,0,2290,0,2831,0,912,116,0.7549683728031156,13164
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,211650.61,7243500.94,25615800.00,1736,325,0,2164,0,2870,0,849,112,0.7608087469187196,12372
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,249609.46,5903743.11,27566000.00,942,1134,0,2181,0,4198,0,891,115,0.7444812809242369,12660
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,43195347.03,0.00,0,7478,0,7693,0,13185,0,1093,8,2.0680269486147655,4764
